file_path,invoice_id,vendor,date,total,invoice_number
Copy of ARPFIINVOEBTCHLASER _10_-page1.jpg,375991,Pacific Food Importers,03-06-2025,491.83,375991
Copy of ARPFIINVOEBTCHLASER _10_-page1.pdf,375991,Pacific Food Importers,03-06-2025,491.83,375991
Copy of ARPFIINVOEBTCHLASER _11_-page1.pdf,375991,Pacific Food Importers,03-06-2025,491.83,375991
Copy of ARPFIINVOEBTCHLASER _11_-page2.pdf,376063,Pacific Food Importers,04-06-2025,100.35,376063
Copy of ARPFIINVOEBTCHLASER _11_-page3.jpg,376173,Pacific Food Importers,05-06-2025,100.35,376173
Copy of ARPFIINVOEBTCHLASER _11_-page3.pdf,376173,Pacific Food Importers,05-06-2025,100.35,376173
Copy of ARPFIINVOEBTCHLASER _11_-page4.pdf,376172,Pacific Food Importers,05-06-2025,133.42,376172
Copy of ARPFIINVOEBTCHLASER _4_-page1.jpg,378093,Pacific Food Importers,15-07-2025,522.75,378093
Copy of ARPFIINVOEBTCHLASER _4_-page1.pdf,378093,Pacific Food Importers,15-07-2025,522.75,378093
Copy of ARPFIINVOEBTCHLASER _4_-page2.jpg,378094,Pacific Food Importers,15-07-2025,75.08,378094
Copy of ARPFIINVOEBTCHLASER _4_-page2.pdf,378094,Pacific Food Importers,15-07-2025,75.08,378094
Copy of ARPFIINVOEBTCHLASER _4_-page4.pdf,378262,Pacific Food Importers,17-07-2025,95.23,378262
Copy of Inv_20068978_from_Franks_Quality_Produce_18559799_11828.jpg,20068978,Franks Quality Produce,05-06-2025,90.12,20068978
Copy of Inv_20068978_from_Franks_Quality_Produce_18559799_11828.pdf,20068978,Franks Quality Produce,05-06-2025,90.12,20068978
Copy of Inv_20075310_from_Franks_Quality_Produce_18842235_13952 _1_.pdf,20075310,Franks Quality Produce,21-07-2025,74.26,20075310
