file_path,invoice_id,vendor,date,total,invoice_number
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (1).jpg,379183,Pacific Food Importers,05-08-2025,596.94,379183
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (1).pdf,379183,Pacific Food Importers,05-08-2025,596.94,379183
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (10)-page2.jpg,376063,Pacific Food Importers,04-06-2025,,376063
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (10)-page2.pdf,376063,Pacific Food Importers,04-06-2025,,376063
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (10)-page3.jpg,376173,Pacific Food Importers,05-06-2025,100.35,376173
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (10)-page3.pdf,376173,Pacific Food Importers,05-06-2025,100.35,376173
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (10)-page4.pdf,376172,Pacific Food Importers,05-06-2025,133.42,376172
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (12).pdf,375704,Pacific Food Importers,28-05-2025,551.21,375704
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (13).pdf,375298,Pacific Food Importers,20-05-2025,354.94,375298
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (14).jpg,374941,Pacific Food Importers,13-05-2025,289.85,374941
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (14).pdf,374941,Pacific Food Importers,13-05-2025,289.85,374941
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (2).jpg,378793,Pacific Food Importers,29-07-2025,754.89,378793
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (2).pdf,378793,Pacific Food Importers,29-07-2025,754.89,378793
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (3).jpg,378483,Pacific Food Importers,22-07-2025,576.63,378483
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (3).pdf,378483,Pacific Food Importers,22-07-2025,576.63,378483
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (4)-page3.pdf,378206,Pacific Food Importers,16-07-2025,95.23,378206
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (5).pdf,377765,Pacific Food Importers,08-07-2025,557.38,377765
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (6)-page1.pdf,377101,Pacific Food Importers,24-06-2025,738.17,377101
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (6)-page2.pdf,377184,Pacific Food Importers,25-06-2025,41.14,377184
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (7).jpg,376739,Pacific Food Importers,17-06-2025,385.06,376739
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (7).pdf,376739,Pacific Food Importers,17-06-2025,381.67,376739
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (8)-page1.jpg,376355,Pacific Food Importers,10-06-2025,688.51,376355
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (8)-page1.pdf,376355,Pacific Food Importers,10-06-2025,688.51,376355
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (8)-page2.jpg,376462,Pacific Food Importers,11-06-2025,-133.42,376462
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (8)-page2.pdf,376462,Pacific Food Importers,11-06-2025,-133.42,376462
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (8)-page3.pdf,376485,Pacific Food Importers,11-06-2025,133.42,376485
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (8)-page4.jpg,376486,Pacific Food Importers,11-06-2025,-54.62,376486
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (8)-page4.pdf,376486,Pacific Food Importers,11-06-2025,-54.62,376486
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (9)-page1.jpg,376355,Pacific Food Importers,10-06-2025,688.51,376355
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (9)-page1.pdf,376355,Pacific Food Importers,10-06-2025,688.51,376355
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (9)-page2.pdf,376462,Pacific Food Importers,11-06-2025,-133.42,376462
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (9)-page3.pdf,376485,Pacific Food Importers,11-06-2025,133.42,376485
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (9)-page4.jpg,376486,Pacific Food Importers,11-06-2025,-54.62,376486
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (9)-page4.pdf,376486,Pacific Food Importers,11-06-2025,-54.62,376486
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER.pdf,379549,Pacific Food Importers,12-08-2025,432.62,379549
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20065629_from_Franks_Quality_Produce_18417572_22492.jpg,20065629,Franks Quality Produce,13-05-2025,109.26,20065629
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20065629_from_Franks_Quality_Produce_18417572_22492.pdf,20065629,Franks Quality Produce,13-05-2025,109.26,20065629
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20066901_from_Franks_Quality_Produce_18471648_18416.pdf,20066901,Franks Quality Produce,22-05-2025,75.14,20066901
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20068140_from_Franks_Quality_Produce_18529019_11828.pdf,20068140,Franks Quality Produce,30-05-2025,75.14,20068140
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20071084_from_Franks_Quality_Produce_18665028_7884.jpg,20071084,Franks Quality Produce,20-06-2025,79.12,20071084
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20071084_from_Franks_Quality_Produce_18665028_7884.pdf,20071084,Franks Quality Produce,20-06-2025,79.12,20071084
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20072265_from_Franks_Quality_Produce_18697771_15688.pdf,20072265,Franks Quality Produce,27-06-2025,63.34,20072265
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20072898_from_Franks_Quality_Produce_18731344_15688.jpg,20072898,Franks Quality Produce,03-07-2025,82.09,20072898
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20072898_from_Franks_Quality_Produce_18731344_15688.pdf,20072898,Franks Quality Produce,03-07-2025,82.09,20072898
C:\Stealth AI\Clean Reader\data\raw\train\Copy of Inv_20074433_from_Franks_Quality_Produce_18802791_20408 (1).pdf,20074433,Franks Quality Produce,15-07-2025,45.28,20074433
