file_path,invoice_id,description,quantity,unit_price,total
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (1).jpg,379183,flour power 24.063 cs Graincraft,8.0,24.0625,192.5
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (1).jpg,379183,sesam seeds white+ 4 x 80 Marca Croc,1.0,80.25,80.25
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (1).jpg,379183,jalapeno sliced 6 # Savor,1.0,51.33,51.33
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (1).jpg,379183,currants,1.0,29.2,29.2
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (1).jpg,379183,milk oat 12 x 32 oz Oatley,3.0,39.948,119.84
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (1).jpg,379183,sugar granulated cane 26 Ceh Sugar,1.0,28.587,28.59
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (1).jpg,379183,eggs liquid 2 x Papettis,1.0,95.23,95.23
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (1).pdf,379183,flour power,8.0,24.063,192.5
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (1).pdf,379183,sesame seeds white,1.0,80.25,80.25
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (1).pdf,379183,jalapeno sliced,1.0,51.329,51.33
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (1).pdf,379183,currants,1.0,29.203,29.2
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (1).pdf,379183,milk oat,3.0,39.948,119.84
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (1).pdf,379183,sugar granulated cane,1.0,28.587,28.59
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (1).pdf,379183,eggs liquid,1.0,95.225,95.23
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (10)-page2.jpg,376063,CS EGGS LIQUID,1.0,100.35,100.35
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (10)-page2.pdf,376063,eggs liquid,1.0,100.35,100.35
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (10)-page3.jpg,376173,eggs liquid,1.0,100.35,100.35
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (10)-page3.pdf,376173,eggs liquid,1.0,100.35,100.35
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (10)-page4.pdf,376172,yeast instant red lbl saf,1.0,133.42,133.42
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (12).pdf,375704,flour power,8.0,24.063,192.5
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (12).pdf,375704,jalapeno sliced,1.0,51.329,51.33
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (12).pdf,375704,sugar brown,1.0,26.778,26.78
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (12).pdf,375704,milk oat,2.0,39.948,79.9
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (12).pdf,375704,eggs liquid,2.0,100.35,200.7
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (13).pdf,375298,flour power,8.0,24.063,192.5
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (13).pdf,375298,sesame seeds white,1.0,80.25,80.25
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (13).pdf,375298,milk whole red cap,1.0,17.999,18.0
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (13).pdf,375298,sugar granulated cane,1.0,29.147,29.15
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (13).pdf,375298,half & half,2.0,2.637,5.27
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (13).pdf,375298,glove nitrile,1.0,29.771,29.77
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (14).jpg,374941,flour power,10.0,24.063,240.63
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (14).jpg,374941,currants,1.0,16.588,16.59
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (14).jpg,374941,glove nitrile,1.0,29.774,29.77
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (14).pdf,374941,flour power,10.0,24.063,240.63
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (14).pdf,374941,currants,1.0,16.588,16.59
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (14).pdf,374941,glove nitrile large,1.0,29.774,29.77
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (2).jpg,378793,Flour Power,10.0,6.3,63.0
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (2).jpg,378793,Onion Minced,1.0,113.33,113.33
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (2).jpg,378793,Sesame Seeds White+,1.0,80.25,80.25
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (2).jpg,378793,Salt Kosher Coarse,2.0,75.075,150.15
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (2).jpg,378793,Glove Nitrile XL,1.0,36.25,36.25
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (2).jpg,378793,Yeast Instant Red LBL,1.0,130.8,130.8
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (2).pdf,378793,flour power,10.0,24.063,240.63
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (2).pdf,378793,onion minced,1.0,113.333,113.33
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (2).pdf,378793,sesame seeds white,1.0,80.25,80.25
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (2).pdf,378793,salt kosher coarse,2.0,75.076,150.15
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (2).pdf,378793,glove nitrile,1.0,36.25,36.25
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (2).pdf,378793,yeast instant red lbl,1.0,130.797,130.8
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (3).jpg,378483,Flour Power,10.0,24.063,240.63
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (3).jpg,378483,Malt Powder Diastatic+,1.0,116.848,116.85
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (3).jpg,378483,Jalapeno Sliced,1.0,51.329,51.33
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (3).jpg,378483,Glove Nitrile Medium,1.0,29.78,29.78
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (3).jpg,378483,Eggs Liquid,1.0,95.225,95.23
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (3).jpg,378483,Milk Oat,1.0,39.948,39.95
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (3).pdf,378483,flour power,10.0,24.063,240.63
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (3).pdf,378483,malt powder diastatic+,1.0,116.848,116.85
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (3).pdf,378483,jalapeno sliced,1.0,51.329,51.33
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (3).pdf,378483,glove nitrile medium,1.0,29.78,29.78
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (3).pdf,378483,eggs liquid,1.0,95.225,95.23
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (3).pdf,378483,milk oat,1.0,39.948,39.95
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (4)-page3.pdf,378206,eggs liquid,1.0,95.23,95.23
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (5).pdf,377765,flour power,10.0,24.063,240.63
C:\Stealth AI\Clean Reader\data\raw\train\Copy of ARPFIINVOEBTCHLASER (5).pdf,377765,glove nitrile,1.0,35.383,35.38
