file_path,invoice_id,description,quantity,unit_price,total,invoice_number
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (10)-page1.jpg,inv_00001,flour power,8.0,24.063,192.5,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (10)-page1.jpg,inv_00001,flour a p unbleached,1.0,21.582,21.58,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (10)-page1.jpg,inv_00001,flour medium rye,1.0,42.8,42.8,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (10)-page1.jpg,inv_00001,cornmeal yellow fine,1.0,25.861,25.86,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (10)-page1.jpg,inv_00001,yeast fresh,1.0,54.62,54.62,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (10)-page1.jpg,inv_00001,salt kosher coarse,1.0,71.658,71.66,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (10)-page1.jpg,inv_00001,glove nitrile,1.0,29.77,29.77,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (10)-page1.jpg,inv_00001,eggs liquid,1.0,18.0,18.0,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (10)-page1.pdf,inv_00002,flour power,8.0,24.063,192.5,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (10)-page1.pdf,inv_00002,flour a p unbleached,1.0,21.582,21.58,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (10)-page1.pdf,inv_00002,flour medium rye,1.0,42.8,42.8,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (10)-page1.pdf,inv_00002,cornmeal yellow fine,1.0,25.861,25.86,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (10)-page1.pdf,inv_00002,yeast fresh,1.0,54.62,54.62,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (10)-page1.pdf,inv_00002,salt kosher coarse,1.0,71.658,71.66,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (10)-page1.pdf,inv_00002,glove nitrile,1.0,29.774,29.77,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (10)-page1.pdf,inv_00002,eggs liquid,0.5,100.35,50.18,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (11)-page1.pdf,inv_00003,flour power,8.0,24.063,192.5,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (11)-page1.pdf,inv_00003,flour a p unbleached,1.0,21.582,21.58,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (11)-page1.pdf,inv_00003,flour medium rye,1.0,42.8,42.8,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (11)-page1.pdf,inv_00003,cornmeal yellow fine,1.0,25.861,25.86,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (11)-page1.pdf,inv_00003,yeast fresh,1.0,54.62,54.62,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (11)-page1.pdf,inv_00003,salt kosher coarse,1.0,71.658,71.66,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (11)-page1.pdf,inv_00003,glove nitrile large,1.0,29.774,29.77,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (11)-page1.pdf,inv_00003,eggs liquid,0.5,100.35,50.18,375991
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (11)-page2.pdf,inv_00004,EGGS LIQUID,1.0,100.35,100.35,376063
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (11)-page3.jpg,inv_00005,eggs liquid,1.0,100.35,100.35,376173
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (11)-page3.pdf,inv_00006,eggs liquid,1.0,100.35,100.35,376173
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (11)-page4.pdf,inv_00007,yeast instant red lbl saf,1.0,133.42,133.42,376172
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (4)-page1.jpg,inv_00008,FLOUR POWER,12.0,24.063,288.76,378093
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (4)-page1.jpg,inv_00008,CORNMEAL YELLOW FINE,1.0,25.101,25.1,378093
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (4)-page1.jpg,inv_00008,GLOVE NITRILE MEDIUM,1.0,29.783,29.78,378093
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (4)-page1.jpg,inv_00008,SESAME SEEDS WHITE+,1.0,80.25,80.25,378093
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (4)-page1.jpg,inv_00008,POPPY SEED,1.0,96.0,96.0,378093
C:\Stealth AI\Clean Reader\invoice_temp_storage\processed\Copy of ARPFIINVOEBTCHLASER (4)-page1.jpg,inv_00008,EGGS LIQUID,2.0,95.225,190.45,378093
